唉 아이구
安慰 위안하다
安装 고정시키다
岸 언덕
暗 어둡다
爱心 사랑하는마음
爱惜 아끼다
爱护 애호하다
不如 -만못하다
不安 불안하다
不得了 심각하다
不断 끊임없다,늘
不然 그렇지않으면
不耐烦 귀찮다
不要紧 문제없다
不见得 반드시-라고할수없다
不足 부족하다
便 곧,즉시
保存 보존하다
保持 유지하다
保留 보류하다
保险 보증하다
傍晚儿 저녁무렵
办理 처리하다
包含 포함하다
包括 포괄하다
包裹 소포
博物馆 박물관
宝贝 귀염둥이
宝贵 귀중하다
布 천
彼此 서로
必然 반드시
必要 필요하다
悲观 비관적이다
把握 파악하다
报告 보고하다
报道 보도하다
摆 진열하다
本科 본과
本质 본질
本领 재능
标志 표지
标点 구두점
步骤 순서,절차
比例 비례,비율
毕竟 드디어
玻璃 유리
病毒 바이러스
编辑 편집
背 등지다
背景 배경
脖子 목
薄 얇다
补充 보충하다
表情 표정
表明 나타내다
表现 표현하다
表达 표현하다
表面 표면,외관
被子 이불
辩论 변론하다
避免 피하다
部门 부
鞭炮 폭죽
丑 못생기다
产品 제품
产生 출산하다
从事 일하다
从前 이전
从此 지금부터
从而 따라서
传播 전파하다
传染 전염하다
传统 전통
传说 소문
促使 -하게하다
促进 촉진하다
催 독촉하다
充分 충분하다
充满 가득차다
充电器 충전기
册 책
冲 충돌하다
出口 입구
出席 참석하다
出版 출판하다
出色 출중하다
创造 발명하다
初级 초급
刺激 자극
匆忙 매우바쁘다
参与 참여하다
参考 참고하다
叉子 포크
吃亏 손해를보다,안타깝게도
吵 시끄럽다
吵架 말다툼하다
吹 불다
处理 처리하다
